Article Name,First Sentence,Category
2004 DFB-Pokal Final,The 2004 DFB-Pokal Final decided the winner of the 2003–04 DFB-Pokal the 61st season of Germany's premier knockout football cup competition.,General reference
2005 Asian Athletics Championships – Women's 800 metres,The women's 800 metres event at the 2005 Asian Athletics Championships was held in Incheon South Korea on September 3–4.,General reference
26th Annual Grammy Awards,The 26th Annual Grammy Awards were held on February 28 1984 at Shrine Auditorium Los Angeles and were broadcast live on American television.,General reference
North Carolina Highway 522,North Carolina Highway 522 (NC 522) is a primary state highway in the state of North Carolina. ,General reference
Australia national rugby union team,The Australian national rugby union team is the representative side of Australia in rugby union.,General reference
Zet 'M Op!,"""Zet 'M Op!"" is a single by Dutch three-piece girl group Lisa Amy & Shelley.",Culture and the arts
Pause (Jay Dee song),"""Pause"" is a single by Jay Dee that was chosen to lead his 2001 (see 2001 in music) album Welcome 2 Detroit.",Culture and the arts
The Nightly Show (UK TV series),The Nightly Show is a British late-night entertainment and chat show hosted by various presenters each week which premiered on 27 February 2017. ,Culture and the arts
Drankin' Patnaz,Drankin' Patnaz is the second studio album by southern rap duo YoungBloodZ.,Culture and the arts
Daisy Town,Daisy Town is a Lucky Luke adventure written by Goscinny with Morris and illustrated by Morris.,Culture and the arts
Gueltas,Gueltas (Breton: Gweltaz) is a commune in the Morbihan department in Brittany in north-western France.,Geography and places
Pervomaiskyi,Pervomaiskyi (Ukrainian: ?????????????) is a city in Kharkiv Oblast (province) of Ukraine formerly known as Likhachova.,Geography and places
Dreieckhorn,The Dreieckhorn is a mountain of the Bernese Alps overlooking Konkordiaplatz in the canton of Valais.,Geography and places
Qaleh-ye Soleyman Khan,Qaleh-ye Soleyman Khan (Persian: ???? ?????? ????? also Romanized as Qal‘eh-ye Soleym?n Kh?n)[1] is a village in Sanjabi Rural District Kuzaran District Kermanshah County Kermanshah Province Iran.,Geography and places
South Patagonian Batholith,The South Patagonian Batholith (Spanish: Batolito Sur-Patagónico) is group of plutons in southwestern Patagonia.,Geography and places
East of England Ambulance Service,The East of England Ambulance Service NHS Trust (EEAST)is the authority responsible for providing National Health Service(NHS) ambulance services in the counties of Bedfordshire Cambridgeshire Essex Hertfordshire Norfolk and Suffolk in the East of England region.,Health and fitness
,,Health and fitness
,,Health and fitness
,,Health and fitness
,,Health and fitness
1832 Naval Air Squadron,1832 Naval Air Squadron (1832 NAS) was a Naval Air Squadron of the Royal Navy's Fleet Air Arm.,History and events
Ed Balls document leak,The Ed Balls document leak was a political controversy in the United Kingdom that arose on 9 June 2011.,History and events
Case Anton,Operation Anton or Fall Anton in German was the codename for the military occupation of Vichy France carried out by Germany and Italyin November 1942.,History and events
Capture of Mametz,Mametz is a village on the D 64 road about 20 miles (32 km) north-east of Amiens and 4 miles (6.4 km) east of Albert. Fricourt lies to the west Contalmaison is to the north Montauban to the north-east and Carnoy and Maricourt are to the south-east. ,History and events
,,History and events
Topological indistinguishability,In topology two points of a topological space X are topologically indistinguishable if they have exactly the same neighborhoods. ,Mathematics and logic
Bernays–Schönfinkel class,The Bernays–Schönfinkel class (also known as Bernays–Schönfinkel-Ramsey class) of formulas named after Paul Bernays and Moses Schönfinkel (and Frank P. Ramsey) is a fragment of first-order logic formulas where satisfiability is decidable.,Mathematics and logic
e-folding,In science e-folding is the time interval in which an exponentially growing quantity increases by a factor of e; it is the base-e analog of doubling time.,Mathematics and logic
,,Mathematics and logic
,,Mathematics and logic
Ashy-headed babbler,The ashy-headed babbler (Malacocincla cinereiceps) is a species of bird in the ground babbler family Pellorneidae. ,Natural and physical sciences
Jobellisia,Jobellisia is a genus of fungi within the family Jobiellaceae class Sordariomycetes.,Natural and physical sciences
Piezophidion simplex,Piezophidion simplex is a species of beetle in the family Cerambycidae.,Natural and physical sciences
Branchipodidae,Branchipodidae is a family of fairy shrimp one of eight in the order Anostraca.,Natural and physical sciences
Thiosulfate dehydrogenase,Thiosulfate dehydrogenase (EC 1.8.2.2) is an enzyme that catalyzes the chemical reaction.,Natural and physical sciences
Hiroki Hattori,Hiroki Hattori (?? ?? Hattori Hiroki born August 30 1971) is a former Japanese football player and manager.,People and self
Ruslan Batyrbiyev,Ruslan Nalbiyevich Batyrbiyev (Russian: ?????? ?????????? ?????????; born February 19 1982) is a Russianprofessional football player who last played for FC Druzhba Maykop.,People and self
Alberto Teisaire,Alberto Teisaire (May 20 1891 – September 11 1962) was an Argentine Navy officer and Vice President of Argentina.,People and self
Xavier Ginard Torres,Xavier 'Xavi' Ginard Torres (born 10 November 1986) is a Spanish professional footballer who plays for UE Olot as a goalkeeper.,People and self
Astride Palata,Astride Palata (born 14 November 1982) is a Congolese handball player. ,People and self
,,Philosophy and thinking
,,Philosophy and thinking
,,Philosophy and thinking
,,Philosophy and thinking
,,Philosophy and thinking
???hya,"???hya (Sanskrit; Tibetan phonetic: yo) is a Buddhistterm translated as ""hypocrisy"" ""dishonesty"" ""deception"" or ""concealment of shortcomings"".",Religion and belief systems
,,Religion and belief systems
,,Religion and belief systems
,,Religion and belief systems
,,Religion and belief systems
Rizzo v. Goode,Rizzo v. Goode 423 U.S. 362 (1976) was a United States Supreme Court case in which the Court held that a prophylactic injunction against non-culpable stateexecutive officials was an overbroad interference by the Federal Courts in the state executive branches.,Society and social sciences
Italic peoples,The Italic peoples were an Indo-Europeanethnolinguistic group identified by speaking Italic languages.,Society and social sciences
,,Society and social sciences
,,Society and social sciences
,,Society and social sciences
EtherCAT,EtherCAT - Ethernet for Control Automation Technology - is an Ethernet-based fieldbus system invented by Beckhoff Automation.,Technology and applied sciences
,,Technology and applied sciences
,,Technology and applied sciences
,,Technology and applied sciences
,,Technology and applied sciences
